date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:54	201419/201419	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2012:02:25%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/index.html	(from )
11:34:55	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2030%20Dec%202018%2006:04:52%20GMT	http://demo.hasthemes.com/robots.txt		(from )
11:34:55	2106/2106	---M--	200	added ('OK')	image/png	etag:%22a1dc2c12608cca0d98ccf27862327a5d%22	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/img/favicon.png	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/img/favicon.png	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:56	127343/127343	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2012:02:38%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/bootstrap.min.css	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:56	30999/30999	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2012:02:38%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/font-awesome.min.css	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:57	115264/115264	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2012:02:39%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/ie7.css	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/ie7.css	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:57	203827/203827	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2012:02:39%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/plugins.css	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/plugins.css	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:59	258125/258125	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Dec%202018%2012:02:40%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/style.css	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/css/style.css	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:59	8638/8638	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2018%20Dec%202018%2012:03:51%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/assets/js/vendor/modernizr-3.5.0.min.js	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/assets/js/vendor/modernizr-3.5.0.min.js	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:34:59	150096/150096	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2012:02:22%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/index-2.html	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/index-2.html	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
11:35:00	106192/106192	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2012:02:22%20GMT	http://demo.hasthemes.com/naturecircle-v2/naturecircle/index-3.html	C:/My%20Web%20Sites/demo10/demo.hasthemes.com/naturecircle-v2/naturecircle/index-3.html	(from http://demo.hasthemes.com/naturecircle-v2/naturecircle/index.html)
